Title,URL
Google says hackers stole its customers’ data by breaching its Salesforce database,https://techcrunch.com/2025/08/06/google-says-hackers-stole-its-customers-data-in-a-breach-of-its-salesforce-database/
Microsoft brings OpenAI’s smallest open model to Windows users,https://techcrunch.com/2025/08/06/microsoft-brings-openais-smallest-open-model-to-windows-users/
"Qwant and Ecosia debut Staan, a European search index that aims to take on Big Tech",https://techcrunch.com/2025/08/06/qwant-and-ecosia-debut-staan-a-european-search-index-that-aims-to-take-on-big-tech/
"For the first time, OpenAI models are available on AWS",https://techcrunch.com/2025/08/05/for-the-first-time-openai-models-are-available-on-aws/
"ElevenLabs launches an AI music generator, which it claims is cleared for commercial use",https://techcrunch.com/2025/08/05/elevenlabs-launches-an-ai-music-generator-which-it-claims-is-cleared-for-commercial-use/
"Roku launches Howdy, a $2.99 ad-free streaming service",https://techcrunch.com/2025/08/05/roku-launches-howdy-a-2-99-ad-free-streaming-service/
"Three weeks after acquiring Windsurf, Cognition offers staff the exit door",https://techcrunch.com/2025/08/05/three-weeks-after-acquiring-windsurf-cognition-offers-staff-the-exit-door/
OpenAI launches two ‘open’ AI reasoning models,https://techcrunch.com/2025/08/05/openai-launches-two-open-ai-reasoning-models/
Apple to announce $100B further commitment for U.S. manufacturing,https://techcrunch.com/2025/08/06/apple-to-announce-100b-further-commitment-for-u-s-manufacturing/
Instagram takes on Snapchat with new ‘Instagram Map’,https://techcrunch.com/2025/08/06/instagram-takes-on-snapchat-with-new-instagram-map/
"Tinder explores a redesign, dating ‘modes,’ and college-specific features to boost engagement",https://techcrunch.com/2025/08/06/tinder-explores-a-redesign-dating-modes-and-college-specific-features-to-boost-engagement/
"Cohere’s new AI agent platform, North, promises to keep enterprise data secure",https://techcrunch.com/2025/08/06/coheres-new-ai-agent-platform-north-promises-to-keep-enterprise-data-secure/
Two arrested for smuggling AI chips to China; Nvidia says no to kill switches,https://techcrunch.com/2025/08/06/two-arrested-for-smuggling-ai-chips-to-china-nvidia-says-no-to-kill-switches/
Photo-sharing app Locket is banking on a new celebrity-focused feature to fuel its growth,https://techcrunch.com/2025/08/06/photo-sharing-app-locket-is-banking-on-a-new-celebrity-focused-feature-to-fuel-its-growth/
Final call: TechCrunch Disrupt 2025 ticket savings end tonight,https://techcrunch.com/2025/08/06/final-call-techcrunch-disrupt-2025-ticket-savings-end-tonight/
Microsoft brings OpenAI’s smallest open model to Windows users,https://techcrunch.com/2025/08/06/microsoft-brings-openais-smallest-open-model-to-windows-users/
Google says hackers stole its customers’ data by breaching its Salesforce database,https://techcrunch.com/2025/08/06/google-says-hackers-stole-its-customers-data-in-a-breach-of-its-salesforce-database/
"Qwant and Ecosia debut Staan, a European search index that aims to take on Big Tech",https://techcrunch.com/2025/08/06/qwant-and-ecosia-debut-staan-a-european-search-index-that-aims-to-take-on-big-tech/
"Three weeks after acquiring Windsurf, Cognition offers staff the exit door",https://techcrunch.com/2025/08/05/three-weeks-after-acquiring-windsurf-cognition-offers-staff-the-exit-door/
Spotify raises subscription prices,https://techcrunch.com/2025/08/04/spotify-raises-subscription-prices/
The uproar over Vogue’s AI-generated ad isn’t just about fashion,https://techcrunch.com/2025/08/03/the-uproar-over-vogues-ai-generated-ad-isnt-just-about-fashion/
Lina Khan points to Figma IPO as vindication of M&A scrutiny,https://techcrunch.com/2025/08/02/lina-khan-points-to-figma-ipo-as-vindication-for-ma-scrutiny/
"Google rolls out Gemini Deep Think AI, a reasoning model that tests multiple ideas in parallel",https://techcrunch.com/2025/08/01/google-rolls-out-gemini-deep-think-ai-a-reasoning-model-that-tests-multiple-ideas-in-parallel/
Your public ChatGPT queries are getting indexed by Google and other search engines,https://techcrunch.com/2025/07/31/your-public-chatgpt-queries-are-getting-indexed-by-google-and-other-search-engines/
The best dating apps aren’t even dating apps,https://techcrunch.com/2025/07/31/the-best-dating-apps-arent-even-dating-apps/
"WWDC 2025 live updates: iOS 26, Liquid Glass, Apple Intelligence updates, and everything else revealed",https://techcrunch.com/storyline/wwdc-2025-live-updates-a-fresh-look-for-ios-a-dedicated-gaming-app-and-more/
"Google I/O 2025 live coverage: Google AI Ultra, Project Mariner, Gemini app updates, and more",https://techcrunch.com/storyline/google-i-o-2025-live-coverage-google-ai-ultra-project-mariner-gemini-app-updates-and-more/
"Tesla earnings wrap up: Elon Musk talks DOGE, Trump and tariffs, robotaxis, AI, and cheap EVs",https://techcrunch.com/storyline/tesla-q1-earnings-live-updates/
"Nvidia GTC 2025 live updates: Blackwell Ultra, GM partnerships, and two ‘personal AI supercomputers’",https://techcrunch.com/storyline/nvidia-gtc-2025-live-updates-blackwell-ultra-gm-partnerships-and-two-personal-ai-supercomputers/
"SXSW 2025 live coverage: Health tips from Bryan Johnson, concerns about Elon Musk, and what it’s like to actually ride a Waymo Uber on the conference’s final day",https://techcrunch.com/storyline/sxsw-2025-live-coverage-health-tips-from-bryan-johnson-concerns-about-elon-musk-and-what-its-like-to-actually-ride-a-waymo-uber-on-the-conferences-final-day/
"Alphabet earnings live updates: AI, Gemini 2.0, Google Cloud, and more",https://techcrunch.com/storyline/alphabet-earnings-live-updates-ai-gemini-2-0-google-cloud-and-more/
Tesla earnings live updates: Promising ‘return to growth’ and cheaper cars,https://techcrunch.com/storyline/tesla-earnings-live-updates-elon-new-evs-ai-and-more/
"Samsung Unpacked 2025 live updates: Galaxy S25, new AI features, and more",https://techcrunch.com/storyline/samsung-unpacked-2025-live-updates-galaxy-s25-new-ai-features-and-more/
TechCrunch Disrupt 2025,https://techcrunch.com/events/tc-disrupt-2025/
StrictlyVC Palo Alto,https://techcrunch.com/events/strictlyvc-palo-alto/
Final call: TechCrunch Disrupt 2025 ticket savings end tonight,https://techcrunch.com/2025/08/06/final-call-techcrunch-disrupt-2025-ticket-savings-end-tonight/
Photo-sharing app Locket is banking on a new celebrity-focused feature to fuel its growth,https://techcrunch.com/2025/08/06/photo-sharing-app-locket-is-banking-on-a-new-celebrity-focused-feature-to-fuel-its-growth/
Clay confirms it closed $100M round at $3.1B valuation,https://techcrunch.com/2025/08/05/clay-confirms-it-closed-100m-round-at-3-1b-valuation/
"Three weeks after acquiring Windsurf, Cognition offers staff the exit door",https://techcrunch.com/2025/08/05/three-weeks-after-acquiring-windsurf-cognition-offers-staff-the-exit-door/
"Crack the code to startup traction with insights from Chef Robotics, NEA, and ICONIQ at TechCrunch Disrupt 2025",https://techcrunch.com/2025/08/05/crack-the-code-to-startup-traction-with-insights-from-chef-robotics-nea-and-iconiq-at-techcrunch-disrupt-2025/
Nothing releases its first over-the-ear headphones,https://techcrunch.com/video/nothing-releases-its-first-over-the-ear-headphones/
What the next generation of AI natives mean for founders and funders,https://techcrunch.com/video/what-the-next-generation-of-ai-natives-mean-for-founders-and-funders/
Advice on making early bets from an investor who’s backed 60 successes,https://techcrunch.com/video/advice-on-making-early-bets-from-an-investor-whos-backed-60-successes/
Why Robinhood’s co-founder is betting on solar power from space,https://techcrunch.com/video/why-robinhoods-co-founder-is-betting-on-solar-power-from-space/
Katie Haun makes the case for tokenizing more of the world,https://techcrunch.com/video/katie-haun-makes-the-case-for-tokenizing-more-of-the-world/
How AI chatbots keep people coming back,https://techcrunch.com/video/how-ai-chatbots-keep-people-coming-back/
The AI policy playbook: What global startups need to know,https://techcrunch.com/video/the-ai-policy-playbook-what-global-startups-need-to-know/
Behind your firewall: secure generative AI for regulated enterprises,https://techcrunch.com/video/behind-your-firewall-secure-generative-ai-for-regulated-enterprises/
Suite AI: how SAP is bringing AI to the enterprise,https://techcrunch.com/video/suite-ai-how-sap-is-bringing-ai-to-the-enterprise/
Anthropic’s Jared Kaplan Charts the Course for Enterprise AI,https://techcrunch.com/video/anthropics-jared-kaplan-charts-the-course-for-enterprise-ai/
"Cohere’s new AI agent platform, North, promises to keep enterprise data secure",https://techcrunch.com/2025/08/06/coheres-new-ai-agent-platform-north-promises-to-keep-enterprise-data-secure/
Two arrested for smuggling AI chips to China; Nvidia says no to kill switches,https://techcrunch.com/2025/08/06/two-arrested-for-smuggling-ai-chips-to-china-nvidia-says-no-to-kill-switches/
Final call: TechCrunch Disrupt 2025 ticket savings end tonight,https://techcrunch.com/2025/08/06/final-call-techcrunch-disrupt-2025-ticket-savings-end-tonight/
Microsoft brings OpenAI’s smallest open model to Windows users,https://techcrunch.com/2025/08/06/microsoft-brings-openais-smallest-open-model-to-windows-users/
"Qwant and Ecosia debut Staan, a European search index that aims to take on Big Tech",https://techcrunch.com/2025/08/06/qwant-and-ecosia-debut-staan-a-european-search-index-that-aims-to-take-on-big-tech/
Final call: TechCrunch Disrupt 2025 ticket savings end tonight,https://techcrunch.com/2025/08/06/final-call-techcrunch-disrupt-2025-ticket-savings-end-tonight/
Google says hackers stole its customers’ data by breaching its Salesforce database,https://techcrunch.com/2025/08/06/google-says-hackers-stole-its-customers-data-in-a-breach-of-its-salesforce-database/
Hacker used a voice phishing attack to steal Cisco customers’ personal information,https://techcrunch.com/2025/08/05/hacker-used-a-voice-phishing-attack-to-steal-cisco-customers-personal-information/
SonicWall urges customers to disable SSLVPN amid reports of ransomware attacks,https://techcrunch.com/2025/08/05/sonicwall-urges-customers-to-disable-sslvpn-amid-reports-of-ransomware-attacks/
Google says its AI-based bug hunter found 20 security vulnerabilities,https://techcrunch.com/2025/08/04/google-says-its-ai-based-bug-hunter-found-20-security-vulnerabilities/
Final call: TechCrunch Disrupt 2025 ticket savings end tonight,https://techcrunch.com/2025/08/06/final-call-techcrunch-disrupt-2025-ticket-savings-end-tonight/
Clay confirms it closed $100M round at $3.1B valuation,https://techcrunch.com/2025/08/05/clay-confirms-it-closed-100m-round-at-3-1b-valuation/
"Crack the code to startup traction with insights from Chef Robotics, NEA, and ICONIQ at TechCrunch Disrupt 2025",https://techcrunch.com/2025/08/05/crack-the-code-to-startup-traction-with-insights-from-chef-robotics-nea-and-iconiq-at-techcrunch-disrupt-2025/
Only 2 days left to save $675 on your TechCrunch Disrupt 2025 ticket,https://techcrunch.com/2025/08/05/only-2-days-left-to-save-675-on-your-disrupt-2025-ticket/
What founders should think about if looking to raise a Series C,https://techcrunch.com/2025/08/02/what-founders-should-think-about-if-looking-to-raise-a-series-c/
"Venture firm CRV raises $750M, downsizing after returning capital to investors",https://techcrunch.com/2025/08/01/venture-firm-crv-raises-750m-downsizing-after-returning-capital-to-investors/
Kleiner Perkins is having a very good week,https://techcrunch.com/2025/08/01/kleiner-perkins-is-having-a-very-good-week/
More details emerge on how Windsurf’s VCs and founders got paid from the Google deal,https://techcrunch.com/2025/08/01/more-details-emerge-on-how-windsurfs-vcs-and-founders-got-paid-from-the-google-deal/
Instagram takes on Snapchat with new ‘Instagram Map’,https://techcrunch.com/2025/08/06/instagram-takes-on-snapchat-with-new-instagram-map/
"Tinder explores a redesign, dating ‘modes,’ and college-specific features to boost engagement",https://techcrunch.com/2025/08/06/tinder-explores-a-redesign-dating-modes-and-college-specific-features-to-boost-engagement/
Photo-sharing app Locket is banking on a new celebrity-focused feature to fuel its growth,https://techcrunch.com/2025/08/06/photo-sharing-app-locket-is-banking-on-a-new-celebrity-focused-feature-to-fuel-its-growth/
WhatsApp adds new features to protect against scams,https://techcrunch.com/2025/08/05/whatsapp-adds-new-features-to-protect-against-scams/
Spotify expands audiobooks access to family plan members in the US for the first time,https://techcrunch.com/2025/08/05/spotify-expands-audibook-access-to-family-plan-members-in-the-u-s-for-the-first-time/
Jeh Aerospace nets $11M to scale the commercial aircraft supply chain in India,https://techcrunch.com/2025/08/04/jeh-aerospace-nets-11m-to-scale-the-commercial-aircraft-supply-chain-in-india/
Foxconn sells former GM factory to mystery buyer after failing to make EVs,https://techcrunch.com/2025/08/04/foxconn-sells-former-gm-factory-to-mystery-buyer-after-failing-to-make-evs/
Rivian sues to sell its EVs directly in Ohio,https://techcrunch.com/2025/08/04/rivian-sues-to-sell-its-evs-directly-in-ohio/
